outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
88b	All autosomal DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1169	1.00805122106296	0.997925027826297	1.0182801672987	0.119534624120499	Visuospatial	0.761349948823
88b	Protein-altering DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1169	0.921549882705669	0.797969284874749	1.06426926751715	0.266100699201411	Visuospatial	0.761349948823
88b	Loss-of-function DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1169	0.912409928428436	0.632830877324109	1.31550451680697	0.623403694268774	Visuospatial	0.805882531902009
88b	CADD >= 25 DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1169	0.912454137412985	0.7153181601363	1.16391921704243	0.460689131837264	Visuospatial	0.805882531902009
88b	Protein-altering CADD >= 25 DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1169	0.910948001715752	0.712332348032821	1.1649425498106	0.457308276056227	Visuospatial	0.805882531902009
89b	All autosomal DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.991536879444142	0.98280375372243	1.00034760711292	0.0597050108822892	Memory	0.761349948823
89b	Protein-altering DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.958150027734076	0.847464899386719	1.08329144524	0.494871415291796	Memory	0.805882531902009
89b	Loss-of-function DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.918421615380005	0.671866477619474	1.2554552008397	0.593643328731233	Memory	0.805882531902009
89b	CADD >= 25 DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.986768891614478	0.801745248441053	1.21449156992373	0.899951818485116	Memory	0.930984639812188
89b	Protein-altering CADD >= 25 DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.978546794915155	0.793400918129658	1.20689780911274	0.839403787811413	Memory	0.899361201226514
90b	All autosomal DNVs	ADOS CSS + VABS; pooled 1,172 (primary; no ancestry PCs)	1168	0.994491282112654	0.983042186903545	1.00607372030831	0.349784086533231	Music	0.761349948823
