outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
88b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	0.97544176382899	0.846013733367785	1.12467043629914	0.732092998115634	Visuospatial	0.987749295828522
88b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.05134977930583	0.912010437031189	1.21197775109302	0.490010234370975	Visuospatial	0.918769189445579
88b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.10429970739685	0.956493955810211	1.27494568716202	0.17597737753024	Visuospatial	0.619394230412881
88b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.0069087686067	0.831437381191575	1.21941265960888	0.943817593042219	Visuospatial	0.987749295828522
88b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	0.947239638474595	0.816487928913499	1.0989298199319	0.474483552884065	Visuospatial	0.918769189445579
88b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.0361951684087	0.899062576067726	1.19424437810506	0.623495848154001	Visuospatial	0.987749295828522
88b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.01513296782274	0.86725305252714	1.18822867138695	0.851681323404426	Visuospatial	0.987749295828522
88b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.03527619688798	0.902291464270382	1.18786095877514	0.621149675426471	Visuospatial	0.987749295828522
88b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	1.2044055972089	1.04390560147963	1.38958239186769	0.0108085166557763	Visuospatial	0.129702199869316
88b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1157	0.977040635613213	0.852024579749043	1.12040007568871	0.739508294763459	Visuospatial	0.987749295828522
89b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.922976391824714	0.815055240562425	1.04518734126282	0.20646474347096	Memory	0.619394230412881
89b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.998876040847851	0.882266483258588	1.13089793606887	0.985833570781044	Memory	0.987749295828522
89b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.896321895665807	0.789850066970706	1.01714613221618	0.0897975498412157	Memory	0.41445023003638
89b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.061468700399	0.897604490342773	1.25524751051155	0.485630009009893	Memory	0.918769189445579
89b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.994677831873735	0.873813761953639	1.13225956410781	0.93565414921562	Memory	0.987749295828522
89b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.993290977315709	0.877372557847267	1.12452453269977	0.915326569921757	Memory	0.987749295828522
89b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.962448231175922	0.838577693647735	1.10461631010517	0.586096454052011	Memory	0.987749295828522
89b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.992247959122824	0.87996349113806	1.11886006896727	0.898932779537272	Memory	0.987749295828522
89b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.04476804576787	0.922779585797846	1.18288298338747	0.489352904379928	Memory	0.918769189445579
89b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.01952427744826	0.904638149605791	1.14900057305714	0.75125162544626	Memory	0.987749295828522
90b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.998741154031968	0.850399906310831	1.17295861083093	0.987749295828522	Music	0.987749295828522
90b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.15050077659642	0.979182070577365	1.35179358029756	0.0883379249140866	Music	0.41445023003638
90b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.12362243986355	0.955487122022109	1.32134422146163	0.158722557905368	Music	0.59520959214513
90b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.28195361447272	1.02430877248605	1.60440397837366	0.0300239807943679	Music	0.200159871962452
