outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
88b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	0.980318996854037	0.850434800724422	1.13003999221843	0.784003493250065	Visuospatial	0.978870468003059
88b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.05236662236126	0.913208375421623	1.2127303446475	0.480601753583439	Visuospatial	0.930302128910271
88b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.10466191643462	0.956956191838321	1.27516594806377	0.174087595347268	Visuospatial	0.614426807108006
88b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.00750062559913	0.832378063026992	1.219466917342	0.938858417612072	Visuospatial	0.978870468003059
88b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	0.949296303493452	0.818378590314836	1.10115719361579	0.491924097972643	Visuospatial	0.930302128910271
88b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.03686451320862	0.899784184127438	1.19482875751357	0.616815014745756	Visuospatial	0.978870468003059
88b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.01518012082648	0.867430247246123	1.18809631205867	0.851080426362809	Visuospatial	0.978870468003059
88b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.03303039823094	0.900178090038957	1.18548964419141	0.643593726852432	Visuospatial	0.978870468003059
88b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	1.21749084711038	1.05520064068938	1.40474134078346	0.00701591961321931	Visuospatial	0.0841910353586318
88b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1154	0.975188878957766	0.850530602134766	1.11811773410149	0.718820566112195	Visuospatial	0.978870468003059
89b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.919711881210602	0.812108400222839	1.04157270655967	0.187383767308955	Memory	0.624612557696518
89b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.998322547280427	0.881686166363257	1.13038850605926	0.978870468003059	Memory	0.978870468003059
89b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.894323189313514	0.787946562805781	1.01506117888992	0.0838807787059232	Memory	0.419403893529616
89b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.06018492855855	0.896508682958762	1.2537436659656	0.494553517760338	Memory	0.930302128910271
