model	PGS	comparison	N	OR	lower_CI	upper_CI	p_value	p_fdr
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Autism	Visuospatial vs Memory	1146	0.99370199620037	0.825274720673768	1.19650297351461	0.94684067057562	0.970212629871311
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Autism	Academic vs Memory	1146	1.03988620226669	0.89248915430488	1.21162627965699	0.616013145004875	0.924019717507313
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Autism	Arts vs Memory	1146	1.17717727526058	0.965829830625105	1.4347727658122	0.10617875479269	0.58094056511484
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Educational attainment	Visuospatial vs Memory	1146	1.03324850425122	0.85889646125823	1.24299321244542	0.72869175989348	0.950467512904539
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Educational attainment	Academic vs Memory	1146	1.28154321149014	1.09910281241633	1.49426694606106	0.00154573630705387	0.0231860446058081
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Educational attainment	Arts vs Memory	1146	0.905116246595825	0.740662950773069	1.10608397381918	0.329838030016036	0.749410412337707
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Intelligence	Visuospatial vs Memory	1146	1.16671725982255	0.963451088752246	1.41286794966495	0.114395270850946	0.58094056511484
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Intelligence	Academic vs Memory	1146	1.38133284143682	1.17888781255554	1.61854283207463	0.0000646134440073911	0.00193840332022173
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Intelligence	Arts vs Memory	1146	1.16919997091935	0.952226210763661	1.43561325717078	0.135552798526796	0.58094056511484
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Schizophrenia	Visuospatial vs Memory	1146	0.972764028459195	0.759018621035433	1.24670176572649	0.827326021924616	0.960318125089473
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Schizophrenia	Academic vs Memory	1146	0.896990618465703	0.731487549467417	1.09993966432005	0.29619566168071	0.749410412337707
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Schizophrenia	Arts vs Memory	1146	1.08080864541772	0.822816261407193	1.41969402259005	0.576535324341094	0.910318933170148
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	ADHD	Visuospatial vs Memory	1146	0.9731974839625	0.803670601863315	1.17848449426301	0.780850803098074	0.960318125089473
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	ADHD	Academic vs Memory	1146	0.936930412902294	0.800585245676997	1.09649609877451	0.416848753958449	0.781591413672092
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	ADHD	Arts vs Memory	1146	1.02257277019861	0.831722660604885	1.25721604073069	0.832275708410877	0.960318125089473
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Bipolar disorder	Visuospatial vs Memory	1146	1.00350924290897	0.834964968246417	1.20607551083094	0.970212629871311	0.970212629871311
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Bipolar disorder	Academic vs Memory	1146	1.11358239151623	0.956031503382744	1.29709715454696	0.166895595701625	0.625858483881095
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Bipolar disorder	Arts vs Memory	1146	1.09897892237357	0.901733132409873	1.33937040617955	0.34972485909093	0.749410412337707
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Major depression	Visuospatial vs Memory	1146	1.14323801860467	0.933383008448916	1.40027529465646	0.19576576092547	0.652552536418234
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Major depression	Academic vs Memory	1146	1.07317672307355	0.906609130967658	1.2703470984432	0.41183808671737	0.781591413672092
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Major depression	Arts vs Memory	1146	1.1893304143364	0.954523479574279	1.48189841814732	0.122300289334785	0.58094056511484
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Obsessive-compulsive disorder	Visuospatial vs Memory	1146	1.06857521039264	0.895156986282105	1.27558964267059	0.462885137957098	0.816856125806643
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Obsessive-compulsive disorder	Academic vs Memory	1146	0.990353930205578	0.855142878020131	1.1469438994153	0.897027113538801	0.970212629871311
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Obsessive-compulsive disorder	Arts vs Memory	1146	1.04003755909465	0.859384674308428	1.25866582994166	0.686750076130172	0.940983505716005
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Epilepsy	Visuospatial vs Memory	1146	1.17949138608187	0.981299666295715	1.41771161004563	0.0786047850442014	0.58094056511484
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Epilepsy	Academic vs Memory	1146	1.09062813932031	0.936243775407734	1.27047011635325	0.265276513481046	0.749410412337707
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Epilepsy	Arts vs Memory	1146	0.901099524570123	0.739994175429625	1.09727938427229	0.300094715053357	0.749410412337707
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Seizure	Visuospatial vs Memory	1146	1.00611560930448	0.843868275318831	1.19955761923111	0.945823329245193	0.970212629871311
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Seizure	Academic vs Memory	1146	1.03013062433376	0.89028303259301	1.191945779422	0.690054570858404	0.940983505716005
ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	Seizure	Arts vs Memory	1146	1.06654422289154	0.882738381089471	1.28862254519782	0.504417478465134	0.840695797441891
