raw_class	item	endorsement_probability	class_label	domain
4	88b	1e-12	Memory	Visuospatial
4	89b	0.999999999999	Memory	Memory
4	90b	0.0888024860099697	Memory	Music
4	91b	0.0253157872318311	Memory	Drawing
4	92b	1e-12	Memory	Reading
4	93b	0.0551760590310438	Memory	Computational
2	88b	0.999999999999	Visuospatial	Visuospatial
2	89b	0.400990099009111	Visuospatial	Memory
2	90b	0.123762376237551	Visuospatial	Music
2	91b	0.0742574257425415	Visuospatial	Drawing
2	92b	1e-12	Visuospatial	Reading
2	93b	0.0990099009901186	Visuospatial	Computational
3	88b	0.198564593301352	Academic	Visuospatial
3	89b	0.478468899521285	Academic	Memory
3	90b	0.169856459330149	Academic	Music
3	91b	0.0837320574162535	Academic	Drawing
3	92b	0.999999999999	Academic	Reading
3	93b	0.270334928229993	Academic	Computational
1	88b	1e-12	Arts	Visuospatial
1	89b	0.16251328235058	Arts	Memory
1	90b	0.445182018556177	Arts	Music
1	91b	0.302519347314557	Arts	Drawing
1	92b	1e-12	Arts	Reading
1	93b	0.326142196109388	Arts	Computational
